,direction_东,direction_东北,direction_东南,direction_东西,direction_北,direction_南,direction_南北,direction_西,direction_西北,direction_西南,direction_nan,district_东城,district_丰台,district_北京周边,district_大兴,district_宣武,district_密云,district_崇文,district_平谷,district_延庆,district_怀柔,district_房山,district_昌平,district_朝阳,district_海淀,district_燕郊,district_石景山,district_西城,district_通州,district_门头沟,district_顺义,district_nan,rent_type_合租,rent_type_整租,rent_type_nan,pay_type_年付,pay_type_押一付一,pay_type_押一付三,pay_type_押一付二,pay_type_押一付半年,pay_type_押一付年,pay_type_押二付三,pay_type_押二付二,pay_type_押零付半年,pay_type_nan,floor,独立卫生间,电视,is_broker,阳台,area,沙发,facilities_null,热水器,衣柜,price,独立阳台,床,crawl_time,独卫,toilet_num,room_num,floor_total,冰箱,宽带网,空调,洗衣机,可做饭,hall_num,微波炉,暖气,decoration,one_room_area,one_area_price
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,52.0,0,0,1,0,1600.0,0,1,127,0,1.0,2.0,6.0,1,1,1,1,0,1.0,0,1,4,26,31
11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,26.0,0,0,1,0,1000.0,0,1,127,0,1.0,3.0,6.0,1,1,1,1,0,1.0,0,1,4,9,38
12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,15.0,0,0,1,0,800.0,0,1,147,0,1.0,3.0,6.0,1,1,1,1,0,1.0,0,1,4,5,53
13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,96.0,0,0,1,0,4240.0,0,1,127,0,1.0,3.0,18.0,1,1,1,1,0,1.0,0,1,4,32,44
14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,65.0,0,0,1,0,4800.0,0,1,127,0,1.0,2.0,6.0,1,1,1,1,0,1.0,0,1,3,32,74
15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,126.0,0,0,1,0,7000.0,0,1,127,0,2.0,3.0,11.0,1,1,1,1,0,2.0,0,1,5,42,56
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,101.0,0,1,0,0,8000.0,0,0,127,0,1.0,2.0,11.0,0,0,0,0,0,1.0,0,0,3,50,79
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,55.0,0,0,1,0,2500.0,0,1,127,0,1.0,2.0,6.0,1,1,1,1,0,1.0,0,1,3,28,45
18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,25.0,0,0,1,0,2000.0,0,1,127,0,1.0,2.0,6.0,1,1,1,1,0,1.0,0,1,4,12,80
19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,18.0,0,0,1,0,900.0,0,1,127,0,1.0,3.0,18.0,1,1,1,1,0,1.0,0,1,4,6,50
20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,80.0,0,0,1,0,2500.0,0,1,147,0,1.0,2.0,22.0,1,1,1,1,0,1.0,0,1,4,40,31
21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,68.0,0,0,1,0,4000.0,0,1,127,0,1.0,2.0,12.0,1,1,1,1,0,1.0,0,1,3,34,59
22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,16.0,0,0,1,0,750.0,0,1,127,0,2.0,3.0,9.0,1,1,1,1,0,2.0,0,1,3,5,47
23,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,25.0,0,0,1,0,1500.0,0,1,127,0,1.0,3.0,6.0,1,1,1,1,0,1.0,0,1,3,8,60
24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,90.0,0,0,1,0,2100.0,0,1,127,0,1.0,2.0,6.0,1,1,1,1,0,1.0,0,1,3,45,23
25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,70.0,0,0,1,0,6500.0,0,1,127,0,1.0,2.0,15.0,1,1,1,1,0,1.0,0,1,3,35,93
26,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,8.0,0,0,1,0,600.0,0,1,127,0,1.0,2.0,15.0,1,1,1,1,0,1.0,0,1,3,4,75
27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,128.0,0,0,0,0,6500.0,0,1,129,0,2.0,3.0,9.0,0,0,0,0,0,2.0,0,0,3,43,51
