,rent_type_合租,rent_type_整租,rent_type_nan,floor,独立卫生间,电视,is_broker,阳台,area,沙发,facilities_null,热水器,衣柜,price,独立阳台,床,crawl_time,独卫,toilet_num,room_num,floor_total,decoration
245,0,1,0,1,1,1,0,1,30,1,0,1,1,1600,0,1,321,0,1,2,17,2
246,1,0,0,2,1,0,1,1,35,1,0,1,1,2200,0,1,292,0,1,1,6,3
247,0,1,0,2,0,1,1,0,65,1,0,1,1,4000,1,1,84,1,1,1,24,3
248,0,1,0,2,0,1,1,0,83,1,0,1,1,6600,1,1,85,1,1,1,30,3
249,0,1,0,3,1,1,0,1,60,1,0,1,1,3800,0,1,297,0,1,1,6,3
250,0,1,0,3,1,1,0,1,81,1,0,1,1,7500,0,1,293,0,1,2,28,4
251,0,1,0,2,0,1,1,1,12,1,0,1,1,500,0,1,323,0,1,3,12,3
252,0,1,0,1,1,1,1,1,60,1,0,1,1,10000,0,1,322,0,1,1,6,4
253,0,1,0,1,1,1,1,1,45,1,0,1,1,3800,0,1,296,0,1,1,20,4
254,1,0,0,3,0,0,1,0,20,1,0,1,1,650,1,1,85,0,2,3,8,4
255,1,0,0,3,0,1,1,0,22,1,0,1,1,1750,0,1,101,1,1,3,22,4
256,1,0,0,1,1,1,1,1,15,1,0,1,1,2050,0,1,318,0,1,3,22,4
257,0,1,0,3,0,1,1,0,50,0,0,1,0,6500,0,1,86,0,1,2,18,4
258,0,1,0,3,1,1,0,1,78,1,0,1,1,2800,0,1,320,0,1,2,27,4
259,0,1,0,1,1,1,1,1,96,1,0,1,1,1900,0,1,296,0,1,2,28,4
260,1,0,0,1,0,1,1,0,30,1,0,1,1,2800,1,1,85,1,2,3,6,4
261,1,0,0,2,0,1,1,1,28,1,0,1,1,1800,0,1,298,0,1,1,18,3
262,0,1,0,2,1,1,1,1,125,1,0,1,1,7000,0,1,279,0,2,3,21,3
263,0,1,0,2,1,1,1,1,50,1,0,1,1,4900,0,1,320,0,1,1,6,3
264,0,1,0,2,0,1,1,0,61,1,0,1,1,3800,1,1,85,1,1,1,10,3
265,1,0,0,2,0,1,1,0,27,1,0,1,1,2300,1,1,92,1,1,3,6,3
266,0,1,0,2,1,1,1,1,72,1,0,1,1,6500,0,1,293,0,1,2,18,3
267,1,0,0,1,0,1,1,0,27,0,0,1,0,1400,0,1,297,0,1,3,6,4
268,0,1,0,2,0,1,1,0,86,1,0,1,1,5200,1,1,-14,1,1,3,16,3
269,0,1,0,1,1,1,1,1,52,1,0,1,1,4300,0,1,297,0,1,1,24,4
270,1,0,0,1,1,1,1,1,21,1,0,1,1,1900,0,1,294,0,1,3,22,4
271,0,1,0,2,1,1,1,1,90,1,0,1,1,8200,0,1,322,0,1,2,18,3
272,0,1,0,2,1,1,1,1,46,1,0,1,1,3499,0,1,293,0,1,1,32,3
273,1,0,0,2,1,1,1,1,13,1,0,1,1,1300,0,1,319,0,1,3,23,3
274,1,0,0,2,1,1,1,1,15,1,0,1,1,1800,0,1,295,0,1,3,23,3
275,0,1,0,2,1,1,1,1,68,1,0,1,1,4500,0,1,294,0,1,2,22,3
276,1,0,0,2,1,1,1,1,24,1,0,1,1,2100,0,1,294,0,1,3,6,3
277,1,0,0,1,0,1,1,0,20,1,0,1,1,1450,1,1,84,1,2,4,6,4
278,1,0,0,2,1,1,1,1,25,1,0,1,1,2300,0,1,293,0,1,3,27,3
279,0,1,0,2,0,1,1,0,78,1,0,1,1,5100,1,1,85,1,1,2,27,3
280,1,0,0,2,0,1,1,0,20,1,0,1,1,1800,1,1,102,0,1,3,21,3
281,1,0,0,1,0,1,1,0,20,1,0,1,1,1500,1,1,85,1,1,3,9,4
282,1,0,0,2,1,1,1,1,16,1,0,1,1,1500,0,1,299,0,1,4,6,3
283,0,1,0,2,0,1,1,0,55,1,0,1,1,4300,1,1,84,1,1,1,6,3
284,0,1,0,2,0,1,1,0,60,1,0,1,1,3600,1,1,85,1,1,1,6,3
285,0,1,0,1,1,1,0,1,35,1,0,1,1,1100,0,1,274,0,1,1,15,4
286,0,1,0,3,0,1,1,0,65,1,0,1,1,6000,1,1,85,1,1,2,16,4
287,1,0,0,2,0,1,1,0,18,1,0,1,1,1600,1,1,90,1,1,2,25,3
288,1,0,0,1,1,1,1,1,20,1,0,1,1,1800,0,1,322,0,1,3,20,4
289,1,0,0,2,1,1,1,1,18,1,0,1,1,2700,0,1,322,0,1,2,6,3
290,0,1,0,2,0,1,1,0,90,0,0,1,0,6200,0,0,85,0,1,3,24,3
291,0,1,0,1,0,1,1,1,99,1,0,1,1,3000,0,1,321,0,1,3,13,4
292,1,0,0,2,1,1,1,1,18,1,0,1,1,1300,0,1,292,0,1,3,6,3
