agency_name,broker_id,score,property_fee,house_count,building_count,floor,price,rent_type,pay_type,direction,room_type,is_broker,floor_total,complete_time,hall_num,room_num,area,toilet_num, 公交, 医院, 地铁, 学校, 旅游景点, 美食, 购物, 酒店, 银行,distance1000,distance1500,distance2000,distance500,crawl_time,decoration,district,zone,facilities
京诚友家,fang_717527,52.76,0.98,569,9,中,12000,整租,押一付六,东南,,1,29,1985,2,3,189,2,20,10,1,20,16,20,20,17,20,77,91,71,74,2018/1/8 10:00,精,海淀,公主坟,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
三品地产,fang_2242102,30.86,1,238,4,,11000,整租,(押二付一),南北,,1,5,1985,2,3,,1,20,12,5,20,20,20,20,20,20,92,85,59,27,2018/1/8 15:00,中,海淀,北大清华,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
我爱我家,fang_2226873,28.04,1,66,1,高,5500,整租,押一付半年,东西,,1,6,1990,1,1,,1,20,20,13,20,20,20,20,20,20,107,78,50,82,2018/1/8 20:00,豪,海淀,牡丹园,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
我爱我家,fang_2137714,32.62,1,472,4,高,8600,整租,押零付年,南北,,1,6,1987,1,3,,1,20,20,10,20,20,20,20,20,20,94,69,145,83,2018/1/9 1:00,精,海淀,航天桥,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
我爱我家,fang_408900,40.99,1,54,1,高,5800,整租,付一,南北,,1,6,1985,1,2,,1,20,20,10,20,20,20,20,20,20,138,140,37,82,2018/1/9 6:00,精,海淀,上地,电视|空调|热水器|洗衣机|冰箱|床|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
,,37.62,1,1422,11,中,2800,合租,押一付一,西南,主,0,17,1985,1,4,,1,20,20,12,20,20,20,20,20,20,113,106,46,68,2018/1/9 11:00,中,海淀,二里庄,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
热租公寓,fang_2186248,44.46,1,540,8,,4000,整租,付六,南北,,1,4,1964,0,1,,1,20,20,3,20,19,20,20,20,20,51,138,39,79,2018/1/9 16:00,中,海淀,公主坟,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
我爱我家,fang_2203374,22.3,1,833,7,中,5800,整租,(押二付三),南北,,1,8,2001,1,2,90,1,20,20,7,20,20,20,20,20,20,93,76,104,97,2018/1/9 21:00,中,海淀,马连洼,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
,,45.82,1,417,5,高,1700,合租,(押一付三),南,次,1,8,1988,1,3,26,1,20,20,3,20,20,20,20,20,20,110,99,92,19,2018/1/10 2:00,简,海淀,四季青,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
,,34.5,1,594,7,中,3500,整租,(押一付三) (快速贷款),南北,,1,6,2000,1,1,55,1,20,20,15,20,20,20,20,20,20,118,57,89,84,2018/1/10 7:00,中,海淀,田村,空调|热水器|洗衣机|冰箱|床|沙发|暖气|宽带网|可做饭|独立卫生间
