,Unnamed: 0,agency_name,broker_id,score,property_fee,house_count,building_count,floor,price,rent_type,pay_type,direction,room_type,is_broker,floor_total,complete_time,hall_num,room_num,area,toilet_num, 公交, 医院, 地铁, 学校, 旅游景点, 美食, 购物, 酒店, 银行,distance1000,distance1500,distance2000,distance500,crawl_time,decoration,district,zone,facilities
152,329,北京安馨建业房地产经纪有限公司,fang_1676632,31.41,,492.0,5.0,低,1600.0,合租,付七,南,主,1.0,6.0,,1.0,1.0,30.0,1.0,20.0,20.0,3.0,20.0,20.0,20.0,20.0,20.0,20.0,71.0,114.0,41.0,63.0,38,精,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
153,340,安信瑞德,fang_2248700,17.78,,1.0,1.0,中,2100.0,合租,,南,主,1.0,22.0,,1.0,3.0,20.0,1.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,20.0,20.0,85.0,75.0,47.0,86.0,36,精,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
154,343,北京安信瑞德房地产经纪有限公司,,50.81,,132.0,27.0,,1500.0,合租,押一付六,南,主,0.0,3.0,1960.0,1.0,1.0,15.0,1.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,20.0,20.0,109.0,103.0,69.0,34.0,36,中,海淀,北大清华,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
155,383,北京安迅达,fang_2185118,38.2,,298.0,6.0,低,1650.0,合租,(押一付年),南,主,1.0,6.0,1989.0,1.0,3.0,21.0,1.0,20.0,10.0,1.0,20.0,13.0,20.0,20.0,18.0,15.0,29.0,54.0,84.0,38.0,27,精,海淀,上地,空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
156,389,安业瑞特地产,fang_2057867,26.26,,92.0,28.0,中,2000.0,合租,押二付半年,南,主,1.0,12.0,,1.0,2.0,20.0,1.0,20.0,20.0,4.0,20.0,20.0,20.0,20.0,20.0,20.0,118.0,94.0,67.0,46.0,26,中,海淀,四季青,床
157,393,北京安业瑞特房地产经纪有限公司,fang_2182767,31.48,,285.0,7.0,中,2660.0,合租,面议,南,主,1.0,28.0,1963.0,1.0,2.0,24.0,1.0,20.0,20.0,5.0,20.0,20.0,20.0,20.0,20.0,20.0,71.0,143.0,29.0,80.0,25,简,海淀,上地,空调|热水器|洗衣机|冰箱|床|衣柜|暖气|宽带网|可做饭
158,401,安晔居,fang_2233815,16.55,,48.0,1.0,中,1850.0,合租,其他,南,主,1.0,6.0,,1.0,3.0,30.0,1.0,20.0,20.0,4.0,20.0,20.0,20.0,20.0,20.0,20.0,150.0,91.0,58.0,72.0,23,精,海淀,四季青,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
159,407,,fang_2239865,44.74,,276.0,9.0,中,1800.0,合租,押零付一,南,主,1.0,6.0,2001.0,1.0,3.0,23.0,1.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,127.0,114.0,38.0,60.0,22,精,海淀,北大清华,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
160,411,安亿家地产,fang_2122072,38.04,,386.0,6.0,高,2500.0,合租,押零付一,南,主,1.0,6.0,1997.0,1.0,2.0,22.0,1.0,20.0,20.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,104.0,127.0,70.0,45.0,21,中,海淀,定慧寺,
161,417,北京安亿家房地产经纪有限公司,fang_2248740,39.3,,48.0,1.0,高,2400.0,合租,押零付一,南,主,1.0,23.0,1983.0,1.0,3.0,25.0,1.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,20.0,20.0,115.0,66.0,34.0,81.0,20,中,海淀,清河,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
