,direction_东,direction_东北,direction_东南,direction_东西,direction_北,direction_南,direction_南北,direction_朝东,direction_朝东北,direction_朝东南,direction_朝北,direction_朝南,direction_朝西,direction_朝西北,direction_朝西南,direction_西,direction_西北,direction_西南,direction_nan,district_海淀,district_nan,rent_type_合租,rent_type_整租,rent_type_nan,room_type_主,room_type_次,room_type_隔断,room_type_nan,zone_万寿路,zone_万柳,zone_上地,zone_世纪城,zone_二里庄,zone_五棵松,zone_五道口,zone_交通大学,zone_人民大学,zone_公主坟,zone_军博,zone_北大清华,zone_北太平庄,zone_北洼路,zone_北航,zone_厂洼,zone_双榆树,zone_四季青,zone_大钟寺,zone_安宁庄,zone_定慧寺,zone_明光桥,zone_清河,zone_温泉,zone_牡丹园,zone_甘家口,zone_田村,zone_白石桥,zone_航天桥,zone_花园桥,zone_苏州桥,zone_苏州街,zone_蓟门桥,zone_西三旗,zone_西二旗,zone_西北旺,zone_车道沟,zone_马甸,zone_马连洼,zone_魏公村,zone_nan,pay_type_不限,pay_type_其他,pay_type_年付,pay_type_押一付一,pay_type_押一付三,pay_type_押一付二,pay_type_押一付十一,pay_type_押一付半年,pay_type_押一付四,pay_type_押一付年,pay_type_押三付一,pay_type_押三付三,pay_type_押三付二,pay_type_押三付半年,pay_type_押三付四,pay_type_押三付年,pay_type_押二付一,pay_type_押二付三,pay_type_押二付二,pay_type_押二付五,pay_type_押二付半年,pay_type_押二付四,pay_type_押二付年,pay_type_押零付一,pay_type_押零付三,pay_type_押零付二,pay_type_押零付十一,pay_type_押零付半年,pay_type_押零付年,pay_type_面议,pay_type_nan,微波炉, 美食,decoration, 旅游景点,distance1000,floor,床,热水器, 购物,complete_time,is_broker,building_count,score,独立卫生间,冰箱,洗衣机,Unnamed: 0,可做饭, 地铁,facilities_null, 银行,宽带网,toilet_num, 酒店,price,crawl_time,沙发,暖气, 学校,property_fee,衣柜, 医院,hall_num,house_count,distance500,room_num,distance2000,distance1500,电视,阳台,area, 公交,空调,floor_total,one_room_area,one_area_price
20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0,0,20.0,77.0,3,1,1,20.0,0.0,1.0,19.0,29.3,0,1,1,10,1,4.0,0,20.0,1,1.0,0.0,4600.0,105,0,1,0.0,0.5,1,18.0,0.0,1006.0,78.0,1.0,65.0,101.0,1,1,35.0,20.0,1,6.0,35,131
21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.0,2,19.0,16.0,2,1,1,20.0,50.0,1.0,6.0,25.71,1,1,1,112,1,1.0,0,20.0,1,1.0,20.0,1900.0,84,0,1,20.0,2.98,1,10.0,1.0,614.0,25.0,2.0,124.0,109.0,0,1,20.0,20.0,1,6.0,10,95
22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.0,3,20.0,60.0,2,1,1,20.0,31.0,1.0,1.0,32.79,1,1,1,62,1,13.0,0,20.0,1,1.0,20.0,1800.0,94,1,1,20.0,1.5,1,20.0,1.0,364.0,70.0,3.0,53.0,151.0,1,1,18.0,20.0,1,22.0,6,100
23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.0,4,20.0,113.0,1,1,1,20.0,55.0,1.0,3.0,35.25,0,1,1,74,0,6.0,0,20.0,1,1.0,20.0,2800.0,92,0,1,20.0,1.76,0,19.0,1.0,745.0,106.0,3.0,66.0,62.0,1,0,18.0,20.0,1,18.0,6,156
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.0,5,20.0,80.0,1,1,1,20.0,49.0,0.0,5.0,50.16,1,1,1,99,1,7.0,0,20.0,1,1.0,20.0,3500.0,86,1,1,20.0,2.48,1,20.0,1.0,1008.0,99.0,2.0,32.0,83.0,1,1,30.0,20.0,1,6.0,15,117
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,4,8.0,126.0,1,1,1,20.0,50.0,0.0,1.0,20.18,0,1,1,105,0,0.0,0,17.0,1,1.0,20.0,1375.0,85,0,1,20.0,2.7346,0,5.0,1.0,220.0,24.0,2.0,10.0,35.0,1,0,20.0,20.0,1,14.0,10,69
26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,3,20.0,137.0,2,1,0,20.0,56.0,1.0,3.0,25.86,0,0,0,194,0,7.0,0,20.0,0,1.0,20.0,2450.0,67,0,0,20.0,4.44,0,20.0,1.0,274.0,76.0,2.0,90.0,63.0,0,0,25.0,20.0,0,24.0,12,98
27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,5,20.0,152.0,3,1,1,20.0,46.0,1.0,17.0,19.02,1,1,1,49,1,15.0,0,20.0,1,1.0,20.0,1980.0,97,1,1,20.0,1.0,1,20.0,1.0,2100.0,51.0,3.0,51.0,89.0,1,1,19.0,20.0,1,26.0,6,104
28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.0,3,20.0,95.0,2,0,0,20.0,54.0,1.0,26.0,30.63,0,0,0,37,0,7.0,1,20.0,0,1.0,20.0,2860.0,99,0,0,20.0,0.96,0,20.0,1.0,2065.0,44.0,3.0,102.0,182.0,0,0,14.0,20.0,0,6.0,5,204
29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.0,4,20.0,92.0,1,1,1,20.0,46.0,1.0,9.0,38.15,0,1,1,53,0,6.0,0,20.0,1,1.0,20.0,2100.0,96,0,1,20.0,1.16,0,11.0,1.0,1145.0,41.0,3.0,70.0,92.0,1,0,24.0,20.0,1,6.0,8,88
